               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,     metrics/mAP_0.5
65,0.032552,0.0095955,0.012846,0.92701,0.92946,0.96952,0.74784,0.021544,0.0053228,0.0049282,0.00616,0.00616,0.00616,,0.6025565,0.7950064
66,0.032227,0.0093345,0.012798,0.92955,0.92094,0.96831,0.74775,0.021415,0.0053045,0.0049486,0.0061,0.0061,0.0061,,0.6042075,0.7940142
67,0.032129,0.0092691,0.012315,0.94993,0.9136,0.96737,0.74937,0.021715,0.0052322,0.0048397,0.00604,0.00604,0.00604,,0.6174545,0.7932434
68,0.032288,0.0094066,0.012284,0.93933,0.91826,0.96728,0.74709,0.021478,0.0052383,0.0047845,0.00598,0.00598,0.00598,,0.6105645,0.7931696
69,0.032004,0.0093017,0.012299,0.9303,0.92382,0.97203,0.76107,0.021338,0.0051703,0.0047307,0.00592,0.00592,0.00592,,0.604695,0.7970646
70,0.032478,0.0093225,0.012462,0.94547,0.92116,0.96915,0.74728,0.021473,0.0051041,0.0046062,0.00586,0.00586,0.00586,,0.6145555,0.794703
71,0.03232,0.0091684,0.012204,0.95835,0.91995,0.97196,0.75478,0.021506,0.0051026,0.0047393,0.0058,0.0058,0.0058,,0.6229275,0.7970072
72,0.032169,0.0092481,0.012204,0.94098,0.93491,0.97477,0.75655,0.021202,0.0050938,0.0043199,0.00574,0.00574,0.00574,,0.611637,0.7993114
73,0.031103,0.0092449,0.011749,0.9418,0.92787,0.9705,0.76812,0.020783,0.0050848,0.004342,0.00568,0.00568,0.00568,,0.61217,0.79581
74,0.031727,0.0091381,0.011762,0.95968,0.93731,0.97156,0.75573,0.020997,0.0050627,0.0043044,0.00562,0.00562,0.00562,,0.623792,0.7966792
75,0.031484,0.0092601,0.011733,0.94792,0.93214,0.97349,0.76072,0.020955,0.0050146,0.0041677,0.00556,0.00556,0.00556,,0.616148,0.7982618
76,0.031542,0.0092517,0.012086,0.96978,0.92435,0.97614,0.7687,0.020692,0.0050048,0.0039394,0.0055,0.0055,0.0055,,0.630357,0.8004348
77,0.031124,0.0092815,0.011539,0.95245,0.94143,0.97879,0.76997,0.02063,0.005018,0.0039754,0.00544,0.00544,0.00544,,0.6190925,0.8026078
78,0.031117,0.0089988,0.011421,0.95333,0.92536,0.97356,0.77042,0.020571,0.0050436,0.0043338,0.00538,0.00538,0.00538,,0.6196645,0.7983192
79,0.030911,0.009232,0.011659,0.94786,0.93205,0.97194,0.76571,0.020509,0.004962,0.0041813,0.00532,0.00532,0.00532,,0.616109,0.7969908
80,0.030768,0.0092121,0.011415,0.95403,0.94113,0.97831,0.76908,0.020477,0.004958,0.0039542,0.00526,0.00526,0.00526,,0.6201195,0.8022142
81,0.030381,0.0089026,0.010722,0.94584,0.92756,0.97455,0.77175,0.020172,0.0049459,0.0041499,0.0052,0.0052,0.0052,,0.614796,0.799131
82,0.030989,0.0091401,0.011333,0.95467,0.92784,0.97778,0.77416,0.020078,0.0049135,0.003977,0.00514,0.00514,0.00514,,0.6205355,0.8017796
83,0.030744,0.0089738,0.011288,0.95397,0.9349,0.97931,0.76574,0.02042,0.0049319,0.0038084,0.00508,0.00508,0.00508,,0.6200805,0.8030342
84,0.030278,0.0088607,0.010521,0.97416,0.93329,0.97547,0.76773,0.020366,0.0049312,0.0036953,0.00502,0.00502,0.00502,,0.633204,0.7998854
85,0.030354,0.0088604,0.010541,0.96461,0.94163,0.98039,0.77668,0.020092,0.0048528,0.0036069,0.00496,0.00496,0.00496,,0.6269965,0.8039198
86,0.030061,0.0088058,0.010588,0.9619,0.94638,0.97959,0.77396,0.020297,0.004857,0.0035771,0.0049,0.0049,0.0049,,0.625235,0.8032638
87,0.029864,0.0088139,0.010415,0.97263,0.93654,0.98311,0.77687,0.01996,0.0047985,0.0033857,0.00484,0.00484,0.00484,,0.6322095,0.8061502
88,0.029885,0.0087029,0.010474,0.96778,0.93273,0.97984,0.78042,0.019749,0.0048333,0.0035559,0.00478,0.00478,0.00478,,0.629057,0.8034688
89,0.029896,0.0088283,0.010376,0.95996,0.93005,0.9801,0.77392,0.020004,0.0047791,0.0035199,0.00472,0.00472,0.00472,,0.623974,0.803682
90,0.029753,0.008903,0.010842,0.97073,0.94216,0.97994,0.78349,0.019843,0.0047855,0.0033781,0.00466,0.00466,0.00466,,0.6309745,0.8035508
91,0.029818,0.0087913,0.010509,0.95808,0.95052,0.97935,0.77629,0.019881,0.0047689,0.0034247,0.0046,0.0046,0.0046,,0.622752,0.803067
92,0.029336,0.0087658,0.010253,0.97033,0.94837,0.98254,0.77959,0.019652,0.0046678,0.0031673,0.00454,0.00454,0.00454,,0.6307145,0.8056828
93,0.029435,0.0085224,0.010172,0.97071,0.94585,0.98115,0.78475,0.019753,0.0047297,0.0032192,0.00448,0.00448,0.00448,,0.6309615,0.804543
