               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall1,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,,      metrics/recall,     metrics/mAP_0.5
47,0.026081,0.006902,0.0085845,0.95484,0.95947,0.97968,0.779,0.019609,0.0038704,0.0034729,0.009172,0.009172,0.009172,,0.620646,,,0.832728
48,0.025634,0.0067418,0.008004,0.98178,0.96486,0.98727,0.7795,0.01922,0.0036194,0.002908,0.009154,0.009154,0.009154,,0.638157,,,0.8391795
49,0.025242,0.0066428,0.0081221,0.96118,0.93695,0.97753,0.77267,0.019116,0.0036591,0.0037068,0.009136,0.009136,0.009136,,0.624767,,,0.8309005
50,0.02601,0.0071838,0.0084062,0.95831,0.96971,0.98613,0.79184,0.018779,0.0035588,0.0031981,0.009118,0.009118,0.009118,,0.6229015,,,0.8382105
51,0.026419,0.0069346,0.0085689,0.95587,0.94707,0.97848,0.74968,0.021128,0.0040228,0.0034464,0.0091,0.0091,0.0091,,0.6213155,,,0.831708
52,0.025666,0.0069154,0.0080759,0.97085,0.96595,0.98577,0.78237,0.018897,0.0035538,0.0029331,0.009082,0.009082,0.009082,,0.6310525,,,0.8379045
53,0.025256,0.00668,0.0078353,0.96427,0.96444,0.98577,0.77303,0.019371,0.0036364,0.0032621,0.009064,0.009064,0.009064,,0.6267755,,,0.8379045
54,0.0253,0.0067135,0.0080355,0.96922,0.95178,0.98075,0.78328,0.018612,0.0036853,0.0032019,0.009046,0.009046,0.009046,,0.629993,,,0.8336375
55,0.024868,0.006572,0.0075928,0.97991,0.96823,0.98607,0.78507,0.019379,0.0036716,0.0026337,0.009028,0.009028,0.009028,,0.6369415,,,0.8381595
56,0.026551,0.0067837,0.0085646,0.96209,0.96784,0.98536,0.79868,0.018203,0.0035303,0.0028435,0.00901,0.00901,0.00901,,0.6253585,,,0.837556
57,0.025527,0.0066507,0.0080615,0.96195,0.96162,0.98441,0.78457,0.018442,0.0035498,0.0029865,0.008992,0.008992,0.008992,,0.6252675,,,0.8367485
58,0.025919,0.0066712,0.0078415,0.95965,0.98109,0.98719,0.7849,0.019241,0.0036424,0.0027041,0.008974,0.008974,0.008974,,0.6237725,,,0.8391115
59,0.024786,0.0062946,0.00726,0.96444,0.96408,0.98224,0.77932,0.019176,0.0036681,0.0031982,0.008956,0.008956,0.008956,,0.626886,,,0.834904
60,0.025516,0.0067074,0.0082206,0.97132,0.9678,0.98511,0.80074,0.018153,0.0035203,0.0026285,0.008938,0.008938,0.008938,,0.631358,,,0.8373435
61,0.024561,0.0065587,0.0072111,0.9739,0.95233,0.98702,0.80385,0.017555,0.003424,0.0028531,0.00892,0.00892,0.00892,,0.633035,,,0.838967
62,0.025567,0.0067432,0.0077876,0.96668,0.96502,0.98537,0.77704,0.019084,0.003551,0.0027865,0.008902,0.008902,0.008902,,0.628342,,,0.8375645
63,0.024658,0.0065937,0.0070451,0.96184,0.97255,0.9854,0.79628,0.018091,0.0035573,0.0026682,0.008884,0.008884,0.008884,,0.625196,,,0.83759
64,0.024072,0.0065593,0.0076376,0.98006,0.96627,0.98788,0.80368,0.017398,0.003413,0.0025703,0.008866,0.008866,0.008866,,0.637039,,,0.839698
65,0.024947,0.0068481,0.0069957,0.9677,0.97767,0.98952,0.80188,0.017961,0.0034302,0.0024605,0.008848,0.008848,0.008848,,0.629005,,,0.841092
66,0.024927,0.007051,0.0073856,0.98428,0.96752,0.98736,0.80439,0.017606,0.0034559,0.002561,0.00883,0.00883,0.00883,,0.639782,,,0.839256
67,0.024657,0.0067732,0.007167,0.9791,0.96452,0.98997,0.79924,0.017809,0.0033349,0.0024414,0.008812,0.008812,0.008812,,0.636415,,,0.8414745
68,0.023713,0.0064348,0.0069364,0.96664,0.97029,0.98694,0.80442,0.017391,0.0034228,0.002352,0.008794,0.008794,0.008794,,0.628316,,,0.838899
69,0.024184,0.0065002,0.0071404,0.95122,0.97945,0.98686,0.7991,0.01788,0.0035119,0.0026144,0.008776,0.008776,0.008776,,0.618293,,,0.838831
70,0.023896,0.0064299,0.0068775,0.97605,0.96564,0.98826,0.80314,0.017556,0.0034936,0.0023864,0.008758,0.008758,0.008758,,0.6344325,,,0.840021
71,0.023974,0.0063691,0.0068691,0.97674,0.96223,0.98695,0.79758,0.017596,0.0034363,0.0025959,0.00874,0.00874,0.00874,,0.6641832,,,0.8389075
72,0.023627,0.0063619,0.0068402,0.98337,0.97027,0.98729,0.80479,0.017251,0.0033834,0.0022837,0.008722,0.008722,0.008722,,0.6686916,,,0.8391965
73,0.02312,0.0062359,0.0065327,0.97637,0.9705,0.98815,0.80457,0.01733,0.0034138,0.0023694,0.008704,0.008704,0.008704,,0.6639316,,,0.8399275
