               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.048565,            0.011337,            0.011959,             0.50352,             0.60908,             0.47861,             0.16612,            0.055129,            0.010382,            0.011168,             0.00406,             0.00406,             0.00406
                  68,            0.045876,            0.011059,            0.011131,             0.47024,             0.60714,             0.46234,             0.16213,            0.055516,            0.010318,             0.01146,             0.00397,             0.00397,             0.00397
                  69,            0.047661,            0.010771,            0.011392,             0.49841,             0.54229,             0.46428,              0.1679,            0.055355,            0.010497,             0.01144,             0.00388,             0.00388,             0.00388
                  70,             0.04684,            0.012021,             0.01118,             0.48958,             0.62061,             0.47369,             0.16273,            0.056057,            0.010493,            0.011026,             0.00379,             0.00379,             0.00379
                  71,            0.046338,            0.011548,            0.010856,             0.47556,             0.61649,              0.4666,             0.16173,            0.056219,            0.010765,            0.010644,              0.0037,              0.0037,              0.0037
                  72,            0.046686,            0.011572,            0.010214,             0.44683,             0.65706,             0.47401,             0.15955,            0.056804,            0.010822,            0.010395,             0.00361,             0.00361,             0.00361
                  73,            0.045376,            0.010778,             0.01085,             0.50044,             0.58889,             0.46851,               0.162,            0.054695,            0.010771,            0.010538,             0.00352,             0.00352,             0.00352
                  74,            0.045758,            0.011513,           0.0098689,             0.51135,             0.61591,              0.4759,             0.16498,            0.054233,             0.01069,            0.010151,             0.00343,             0.00343,             0.00343
                  75,            0.045801,            0.011337,            0.010154,              0.5067,             0.60103,             0.50016,             0.17826,            0.054625,            0.010536,           0.0094858,             0.00334,             0.00334,             0.00334
                  76,             0.04741,            0.011076,           0.0094112,             0.49661,             0.58687,             0.50919,             0.18284,            0.054446,            0.010526,           0.0093281,             0.00325,             0.00325,             0.00325
                  77,            0.046864,            0.011167,           0.0099595,             0.52703,             0.51699,             0.49113,             0.17344,            0.054465,             0.01054,           0.0098187,             0.00316,             0.00316,             0.00316
                  78,            0.046395,            0.011432,           0.0091533,             0.49326,             0.60349,              0.4886,             0.17124,            0.055403,            0.010423,           0.0093331,             0.00307,             0.00307,             0.00307
                  79,            0.045483,            0.010033,           0.0094955,             0.48604,             0.58105,             0.46353,             0.16355,            0.055705,            0.010556,           0.0093229,             0.00298,             0.00298,             0.00298
                  80,            0.046261,            0.010527,           0.0095257,             0.50405,             0.59157,             0.47091,             0.16709,            0.055012,            0.010649,           0.0098796,             0.00289,             0.00289,             0.00289
                  81,            0.047695,            0.011781,            0.010323,             0.54755,             0.55892,             0.48285,             0.17522,            0.056242,            0.010646,           0.0098618,              0.0028,              0.0028,              0.0028
                  82,              0.0454,            0.010387,           0.0093999,             0.52841,             0.55523,             0.46902,             0.16579,            0.056207,             0.01057,           0.0097537,             0.00271,             0.00271,             0.00271
                  83,            0.046736,            0.010813,           0.0093326,             0.50739,             0.61872,             0.50169,              0.1694,            0.056746,            0.010566,           0.0087267,             0.00262,             0.00262,             0.00262
                  84,            0.045036,            0.010838,           0.0089298,             0.50205,             0.64999,             0.49013,             0.16977,            0.056299,            0.010736,           0.0098008,             0.00253,             0.00253,             0.00253
                  85,            0.044774,             0.01018,           0.0085296,             0.49445,             0.61294,             0.48497,             0.17326,            0.055316,            0.010724,           0.0094519,             0.00244,             0.00244,             0.00244
                  86,            0.044734,            0.011067,           0.0078719,             0.49037,             0.60093,             0.47384,              0.1649,            0.056796,              0.0108,            0.008785,             0.00235,             0.00235,             0.00235
                  87,            0.045497,            0.010882,           0.0079882,              0.4763,             0.61692,             0.48591,             0.17155,            0.055956,            0.010587,           0.0086879,             0.00226,             0.00226,             0.00226
                  88,             0.04447,            0.011562,           0.0075647,             0.52407,             0.59265,             0.49747,             0.17343,            0.055432,            0.010671,           0.0083478,             0.00217,             0.00217,             0.00217
                  89,              0.0447,            0.011052,            0.008295,             0.50465,             0.55582,             0.45808,             0.16318,            0.055457,            0.010836,            0.009012,             0.00208,             0.00208,             0.00208
                  90,            0.045336,            0.010696,           0.0088239,             0.49651,             0.59617,             0.47299,             0.16979,            0.055323,            0.010735,           0.0084922,             0.00199,             0.00199,             0.00199
                  91,            0.043148,             0.01073,           0.0088997,             0.54438,             0.59527,             0.48962,             0.17056,            0.055051,            0.010888,           0.0077107,              0.0019,              0.0019,              0.0019
                  92,            0.043904,            0.011374,           0.0073548,             0.56274,             0.57135,             0.50985,             0.18289,            0.054704,            0.010835,           0.0074442,             0.00181,             0.00181,             0.00181
                  93,            0.043292,            0.010427,            0.007851,             0.58613,             0.62175,             0.54584,             0.18268,            0.055176,            0.010652,           0.0076704,             0.00172,             0.00172,             0.00172
                  94,            0.043664,            0.011126,           0.0071114,              0.5985,             0.55326,             0.53941,             0.17949,            0.055464,            0.010636,           0.0074165,             0.00163,             0.00163,             0.00163
                  95,            0.044808,            0.011091,           0.0078335,             0.50441,             0.59417,             0.48683,             0.17101,            0.055579,            0.010749,            0.008006,             0.00154,             0.00154,             0.00154
                  96,             0.04496,            0.010915,           0.0075053,             0.51261,             0.59107,             0.49573,             0.16812,            0.055775,            0.010873,           0.0077579,             0.00145,             0.00145,             0.00145
                  97,            0.042668,            0.010926,           0.0077276,             0.53188,             0.62845,             0.51229,             0.17434,            0.055346,            0.011021,           0.0077184,             0.00136,             0.00136,             0.00136
                  98,            0.041685,             0.01087,           0.0069766,             0.51919,             0.57701,             0.48291,             0.17576,            0.055118,            0.011216,           0.0085541,             0.00127,             0.00127,             0.00127
                  99,            0.044115,            0.010354,            0.007759,             0.50305,             0.61079,             0.48953,             0.17524,            0.055052,            0.011054,           0.0082839,             0.00118,             0.00118,             0.00118
